541691, [0.54926913 0.52080224 0.50129628], 2.733585301998735e-26 g/cm**3
301026, [0.54876601 0.52146519 0.5001637 ], 3.8269417817675605e-26 g/cm**3
38591, [0.5491705  0.52141187 0.50105227], 4.629574130604145e-26 g/cm**3
761, [0.54970826 0.5234307  0.50097616], 2.310441782706161e-25 g/cm**3
394984, [0.54907194 0.52198989 0.49975192], 6.799559827557443e-25 g/cm**3
354094, [0.5485113  0.52255833 0.50008495], 9.839164157960896e-25 g/cm**3
164480, [0.54879888 0.52153963 0.49991006], 3.140359308427791e-25 g/cm**3
154018, [0.54921295 0.52069546 0.49949118], 2.3377641654193946e-25 g/cm**3
168357, [0.55057925 0.52125874 0.50111914], 3.64670392857517e-26 g/cm**3
183096, [0.54957278 0.52195332 0.49997779], 3.892603191135592e-25 g/cm**3
166697, [0.55014135 0.52117509 0.50148086], 2.6681516460451355e-26 g/cm**3
254365, [0.54978849 0.52219784 0.49981281], 1.5933524275417605e-25 g/cm**3
344216, [0.54825269 0.52246484 0.50090053], 1.0917049968107695e-25 g/cm**3
25006, [0.54949396 0.5206953  0.50031505], 5.402702544032493e-26 g/cm**3
506374, [0.54825874 0.52185501 0.50049862], 8.322271899110225e-26 g/cm**3
417442, [0.5492265  0.52211373 0.50157647], 2.9551606410753356e-26 g/cm**3
46314, [0.54952131 0.52135803 0.50032553], 8.763093046255588e-26 g/cm**3
237424, [0.54942633 0.5225     0.50166296], 2.798922125072097e-26 g/cm**3
251962, [0.54994945 0.52227764 0.49908335], 3.2949745319120627e-25 g/cm**3
295254, [0.54821117 0.52118737 0.50094789], 7.244289245379287e-26 g/cm**3
344529, [0.54846828 0.52298155 0.50102879], 9.585956619513034e-26 g/cm**3
178275, [0.54907912 0.52191152 0.5004707 ], 1.8979334095278437e-25 g/cm**3
249757, [0.55012685 0.52160229 0.50078317], 5.257218294517972e-26 g/cm**3
369184, [0.549723   0.52148378 0.50171529], 2.2427591431458773e-26 g/cm**3
237020, [0.54938501 0.52290839 0.50166905], 2.947304676480137e-26 g/cm**3
171569, [0.54922943 0.52119358 0.50002251], 8.667546650486439e-26 g/cm**3
441186, [0.54908719 0.52213583 0.50074707], 1.3142821520016342e-25 g/cm**3
485384, [0.54925141 0.52301082 0.50191532], 3.293578818254172e-26 g/cm**3
380933, [0.54797783 0.52162638 0.49987068], 2.5702523824450653e-25 g/cm**3
144701, [0.54916542 0.52071252 0.49937136], 4.306182024736758e-25 g/cm**3
405285, [0.55035166 0.52201787 0.50190642], 2.0093371950477703e-26 g/cm**3
14121, [0.54931782 0.52287937 0.50087624], 2.6437004003064673e-25 g/cm**3
170017, [0.55022666 0.52120732 0.50081038], 4.0574905422482307e-26 g/cm**3
5910, [0.54909264 0.52307124 0.50109124], 1.0179286355739481e-25 g/cm**3
408847, [0.54952226 0.52046716 0.50017874], 3.4584099750318887e-26 g/cm**3
180315, [0.54877113 0.52113701 0.49966652], 2.3663251007025677e-25 g/cm**3
156110, [0.54928098 0.52060209 0.49943628], 1.039629516880458e-25 g/cm**3
20457, [0.54942013 0.52063381 0.50000623], 7.196964099812277e-26 g/cm**3
26388, [0.54894438 0.52033344 0.50051754], 3.5377564098506487e-26 g/cm**3
339029, [0.55006192 0.52180421 0.49937068], 1.5667493045998093e-25 g/cm**3
534865, [0.54867438 0.52161905 0.50012874], 2.657439484251559e-25 g/cm**3
3876, [0.5494298  0.5234209  0.50105485], 2.513314332558091e-25 g/cm**3
40036, [0.54918468 0.52043032 0.50021416], 4.0688398789469126e-26 g/cm**3
49498, [0.54897809 0.52067803 0.50004543], 6.501194192189778e-26 g/cm**3
117338, [0.54934059 0.52236613 0.49996875], 3.394273746659854e-25 g/cm**3
154869, [0.54868126 0.5214557  0.49956954], 3.8331377202908776e-25 g/cm**3
160591, [0.54863597 0.52093683 0.49990863], 1.2463003472013627e-25 g/cm**3
398327, [0.54879569 0.52068362 0.49983438], 1.2341980896463215e-25 g/cm**3
27726, [0.54970884 0.52059116 0.50032086], 3.8480695625710416e-26 g/cm**3
439077, [0.54930815 0.52175081 0.50091036], 4.7999947098968044e-26 g/cm**3
457455, [0.5478273 0.5213979 0.50089  ], 9.748396176505472e-26 g/cm**3
349095, [0.54816696 0.52256937 0.50022661], 1.4240710883925354e-25 g/cm**3
260003, [0.5488331  0.52110263 0.49971471], 3.008023809124092e-25 g/cm**3
144526, [0.54894529 0.52145312 0.49972679], 3.3571341888070008e-25 g/cm**3
381709, [0.54808595 0.52162526 0.49969735], 4.303674601615911e-25 g/cm**3
535038, [0.54863377 0.52162927 0.50005422], 3.028516545902007e-25 g/cm**3
227187, [0.54871049 0.52090871 0.4995367 ], 2.166627461060773e-25 g/cm**3
419836, [0.54953541 0.52216209 0.50168042], 2.45204180408473e-26 g/cm**3
76596, [0.54953734 0.52067448 0.49948278], 3.1084777395106026e-25 g/cm**3
136102, [0.54856558 0.52155661 0.49955716], 4.257742977816226e-25 g/cm**3
427565, [0.54997479 0.52187174 0.50166966], 2.219661309661754e-26 g/cm**3
367623, [0.54927102 0.52121102 0.50062303], 6.333468719394347e-26 g/cm**3
101247, [0.55031719 0.52241443 0.50108563], 9.340738392506525e-26 g/cm**3
452503, [0.54907528 0.52162556 0.50034491], 8.123021729375981e-26 g/cm**3
457216, [0.54765564 0.52141948 0.50023698], 9.83856996962643e-26 g/cm**3
257577, [0.54899923 0.52078509 0.49959337], 4.79511657875011e-25 g/cm**3
494019, [0.55102481 0.52148789 0.50060632], 7.487824798709303e-26 g/cm**3
400303, [0.54868599 0.52084441 0.49972962], 1.5471204979556431e-25 g/cm**3
235964, [0.54971646 0.52266984 0.5014034 ], 2.5134035957178462e-26 g/cm**3
414017, [0.54890182 0.52192825 0.50066224], 6.803383105287136e-26 g/cm**3
251715, [0.5504668  0.52240308 0.49993114], 2.1599377462587077e-25 g/cm**3
504556, [0.5502856  0.52200014 0.50000918], 1.3342209411645024e-25 g/cm**3
416346, [0.54970994 0.52186806 0.50059609], 1.4610287369867024e-25 g/cm**3
72370, [0.5500851  0.5210602  0.49931382], 3.566292716762391e-25 g/cm**3
264627, [0.54945278 0.52303423 0.49931866], 3.237711692501112e-25 g/cm**3
289276, [0.54869277 0.52082752 0.5007597 ], 5.795865595348115e-26 g/cm**3
389857, [0.54817121 0.52181286 0.49972132], 3.298978370326282e-25 g/cm**3
22782, [0.54973782 0.5211386  0.5010301 ], 3.6309809744229935e-26 g/cm**3
497602, [0.55074999 0.52219798 0.50135132], 2.1641468363806587e-26 g/cm**3
248530, [0.55020487 0.52209307 0.50165227], 2.2865221971450575e-26 g/cm**3
289702, [0.54868792 0.52146789 0.50074017], 8.732025212354598e-26 g/cm**3
42261, [0.54963027 0.52065409 0.50067475], 3.8853037965266584e-26 g/cm**3
337190, [0.54969321 0.52178437 0.49985086], 3.0118805696890295e-25 g/cm**3
409757, [0.54856948 0.52146727 0.5019889 ], 2.4348649274456063e-26 g/cm**3
111841, [0.54943248 0.52309817 0.49949555], 3.9368284142066197e-25 g/cm**3
51084, [0.54908976 0.52094998 0.50034158], 7.136243253833459e-26 g/cm**3
151212, [0.54889136 0.52140917 0.49919587], 5.828149173467268e-25 g/cm**3
411492, [0.54973467 0.52107798 0.50212419], 2.4277533358127204e-26 g/cm**3
28097, [0.54943731 0.52060476 0.50024029], 4.7670567881517514e-26 g/cm**3
441502, [0.54981287 0.52186268 0.50063633], 1.395558495434709e-25 g/cm**3
412203, [0.54782762 0.52119123 0.5009324 ], 9.942837439963467e-26 g/cm**3
453987, [0.54883475 0.52362782 0.50041706], 4.463039421049438e-25 g/cm**3
109910, [0.54906859 0.52294993 0.49994236], 1.153305963183836e-24 g/cm**3
483064, [0.54905386 0.5224447  0.50214742], 2.981782020606426e-26 g/cm**3
484429, [0.55038217 0.52234968 0.50194454], 1.9421467689994063e-26 g/cm**3
169218, [0.55019224 0.52078878 0.50004172], 3.497863892955665e-26 g/cm**3
177847, [0.54783298 0.52176454 0.50000616], 3.474600661611179e-25 g/cm**3
357035, [0.54820189 0.52224868 0.50094842], 1.7447755448951416e-25 g/cm**3
497401, [0.55067275 0.5220146  0.50046266], 2.0132955020982065e-25 g/cm**3
431065, [0.54968993 0.52216885 0.50142618], 2.506687885491816e-26 g/cm**3
166733, [0.54902354 0.52080906 0.50147769], 2.31254692220521e-26 g/cm**3
297491, [0.54836836 0.52051411 0.50117614], 3.278634697365755e-26 g/cm**3
528023, [0.54820857 0.52184135 0.50059209], 3.937322727204203e-26 g/cm**3
117981, [0.54885969 0.5222284  0.49993843], 5.808222330648197e-25 g/cm**3
386172, [0.54873336 0.52214757 0.49994843], 6.381957072532929e-25 g/cm**3
362199, [0.54797922 0.52256528 0.50148626], 9.981506679913147e-26 g/cm**3
149624, [0.54922834 0.52124912 0.4997529 ], 2.953041054907661e-25 g/cm**3
374993, [0.54882814 0.52177707 0.4994233 ], 5.733005014487109e-25 g/cm**3
495639, [0.55065346 0.52219322 0.50066767], 1.9503644933462698e-25 g/cm**3
543914, [0.54921747 0.52132706 0.50145451], 2.8300123662764314e-26 g/cm**3
56523, [0.5489452  0.52091247 0.50002816], 9.384117761807306e-26 g/cm**3
205198, [0.54962421 0.52040857 0.49954864], 8.763701995426756e-26 g/cm**3
270147, [0.54839511 0.52101014 0.50013692], 3.112339992245733e-25 g/cm**3
185490, [0.54940337 0.52133943 0.50064288], 6.34941347306912e-26 g/cm**3
340442, [0.54979789 0.52165644 0.49904433], 2.4875901876323046e-25 g/cm**3
310423, [0.55004381 0.52241942 0.50118438], 6.817506264714139e-26 g/cm**3
398577, [0.54865783 0.520674   0.49976195], 1.4757756212651444e-25 g/cm**3
43476, [0.54948909 0.52039639 0.50008064], 3.1806754297545206e-26 g/cm**3
305251, [0.54871529 0.52078043 0.50038416], 6.55484052187693e-26 g/cm**3
452159, [0.54907876 0.52155896 0.50041338], 8.476873105268316e-26 g/cm**3
36596, [0.54919969 0.52048187 0.50034581], 4.0869528486124013e-26 g/cm**3
430489, [0.54947987 0.52200381 0.50034274], 1.9672690635247953e-25 g/cm**3
282139, [0.54856939 0.52147529 0.50010681], 1.7173515417211757e-25 g/cm**3
393386, [0.54876758 0.52207869 0.49895575], 1.5283289615048498e-24 g/cm**3
218287, [0.54889055 0.52122792 0.50037965], 6.416575258482134e-26 g/cm**3
363727, [0.54874885 0.52347074 0.50008383], 3.3560210557839734e-25 g/cm**3
140679, [0.54851525 0.52092637 0.49956865], 2.668706818721424e-25 g/cm**3
138575, [0.54810918 0.52124287 0.49952302], 3.221289219193897e-25 g/cm**3
115656, [0.54940403 0.52317459 0.4993088 ], 3.7949942875029485e-25 g/cm**3
374303, [0.54986872 0.52350798 0.50123522], 2.5685682509169977e-25 g/cm**3
173809, [0.55010501 0.52255455 0.50187808], 1.9637912518605057e-26 g/cm**3
32742, [0.54933207 0.52032473 0.50059387], 3.478705942185275e-26 g/cm**3
451493, [0.54915039 0.52150883 0.5003474 ], 9.109491008784464e-26 g/cm**3
417749, [0.54980613 0.52190351 0.50073692], 1.0698205638955452e-25 g/cm**3
486035, [0.54923521 0.52297283 0.50184329], 3.2161975236566605e-26 g/cm**3
79868, [0.54959968 0.52075274 0.49980784], 8.465502096113045e-26 g/cm**3
81605, [0.54933939 0.52058527 0.49963722], 8.014750328091214e-26 g/cm**3
446093, [0.54944584 0.52211254 0.50058789], 1.3694975736214751e-25 g/cm**3
145018, [0.54873265 0.52141452 0.49995677], 3.559716432289889e-25 g/cm**3
177453, [0.54771613 0.52159742 0.50044112], 6.730252543278789e-26 g/cm**3
160398, [0.54914024 0.52084663 0.49991201], 8.921743622544805e-26 g/cm**3
217541, [0.54903616 0.52143252 0.50008941], 9.691841676731299e-26 g/cm**3
172460, [0.54884063 0.52030187 0.4998918 ], 3.892469801156515e-26 g/cm**3
239336, [0.5485942  0.5229001  0.50149104], 1.0408258330489628e-25 g/cm**3
31166, [0.5488672  0.52045178 0.50035945], 4.29783163790617e-26 g/cm**3
142140, [0.54902111 0.52111192 0.49935814], 4.967171628089414e-25 g/cm**3
516992, [0.54854286 0.5218022  0.50015452], 3.7384707170598283e-25 g/cm**3
374314, [0.54997791 0.52346944 0.50120298], 2.803080662246974e-25 g/cm**3
302031, [0.54868958 0.52147216 0.50004567], 2.4118157158120896e-25 g/cm**3
351453, [0.54841628 0.52269743 0.50179529], 8.146967254550425e-26 g/cm**3
124232, [0.54905511 0.52139038 0.50044657], 7.065026793857212e-26 g/cm**3
428729, [0.54889418 0.52163663 0.5011268 ], 5.688142194149807e-26 g/cm**3
274484, [0.54831562 0.52140739 0.50082394], 1.0305520214035331e-25 g/cm**3
166010, [0.54927774 0.52102589 0.50158411], 2.4777543549420893e-26 g/cm**3
359109, [0.54815364 0.52306948 0.50076887], 3.144205006771097e-25 g/cm**3
525925, [0.54855291 0.52179483 0.50039867], 4.0649762763551e-26 g/cm**3
347906, [0.54823114 0.5223985  0.5008013 ], 1.4000290178862003e-25 g/cm**3
151603, [0.54929884 0.52139315 0.49888672], 4.307618055087042e-25 g/cm**3
394410, [0.5487738  0.52213017 0.49925705], 1.2019141961805458e-24 g/cm**3
320069, [0.55043352 0.52272076 0.50123176], 9.621269064137931e-26 g/cm**3
245929, [0.54772803 0.52224923 0.50005653], 6.441836072834381e-25 g/cm**3
396955, [0.54906717 0.52061723 0.49974939], 6.884755797796966e-26 g/cm**3
363359, [0.54946091 0.52282016 0.50007545], 3.874951219447342e-25 g/cm**3
409222, [0.54859382 0.52194894 0.50193951], 3.361791972929099e-26 g/cm**3
494165, [0.55111064 0.52194101 0.50087569], 1.5566275360664625e-25 g/cm**3
536395, [0.54864671 0.52168221 0.50025832], 4.26271572799637e-26 g/cm**3
321030, [0.55065872 0.52271178 0.50143056], 6.358870033786173e-26 g/cm**3
430022, [0.54928161 0.52220237 0.50051852], 1.7133502972490356e-25 g/cm**3
426034, [0.54916423 0.52160341 0.50097523], 5.245592556974867e-26 g/cm**3
102459, [0.54983168 0.52278615 0.50062778], 2.3604277542731863e-25 g/cm**3
161495, [0.54898335 0.52087375 0.4999989 ], 9.399614524490018e-26 g/cm**3
154818, [0.54873993 0.5213997  0.49944853], 5.154648308604998e-25 g/cm**3
